Country,rank,StockCode,Product_Description,Total_Quantity_Sold
Australia,1,22492,MINI PAINT SET VINTAGE  BOY+ GIRL,3060
Australia,2,23084,RABBIT NIGHT LIGHT,1884
Australia,3,21915,RED  HARMONICA IN BOX,1728
Australia,4,21731,RED TOADSTOOL LED NIGHT LIGHT,1668
Australia,5,22969,HOMEMADE JAM SCENTED CANDLES,1368
Australia,6,22630,DOLLY GIRL LUNCH BOX,1316
Australia,7,22629,SPACEBOY LUNCH BOX,1200
Australia,8,22544,MINI JIGSAW SPACEBOY,1008
Australia,9,22539,MINI JIGSAW DOLLY GIRL,792
Australia,10,21914,BLUE HARMONICA IN BOX,732
Austria,1,21918,SET 12 KIDS COLOUR  CHALK STICKS,288
Austria,2,22546,MINI JIGSAW PURDEY,240
Austria,3,22584,PACK OF 6 PANNETONE GIFT BOXES,144
Austria,4,22582,PACK OF 6 SWEETIE GIFT BOXES,144
Austria,5,84879,ASSORTED COLOUR BIRD ORNAMENT,136
Austria,6,16033,MINI HIGHLIGHTER PENS,120
Austria,7,15056N,EDWARDIAN PARASOL NATURAL,120
Austria,8,15056BL,EDWARDIAN PARASOL BLACK,108
Austria,9,20679,EDWARDIAN PARASOL RED,108
Austria,10,20718,RED SPOTTY SHOPPER BAG,100
Bahrain,1,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,102
Bahrain,2,23076,ICE CREAM SUNDAE LIP GLOSS,96
Bahrain,3,22422,TOOTHPASTE TUBE PEN,60
Bahrain,4,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,60
Bahrain,5,23077,DOUGHNUT LIP GLOSS,60
Bahrain,6,20871,OPULENT VELVET SET/3 CANDLES,30
Bahrain,7,21788,KIDS RAIN MAC BLUE,24
Bahrain,8,22421,LIPSTICK PEN FUSCHIA,24
Bahrain,9,22419,LIPSTICK PEN RED,24
Bahrain,10,20819,SILVER TEDDY BEAR,24
Belgium,1,21212,PACK OF 72 RETROSPOT CAKE CASES,696
Belgium,2,22630,DOLLY GIRL LUNCH BOX,572
Belgium,3,22629,SPACEBOY LUNCH BOX,560
Belgium,4,22492,MINI PAINT SET VINTAGE  BOY+ GIRL,540
Belgium,5,21976,PACK OF 60 MUSHROOM CAKE CASES,528
Belgium,6,22326,ROUND SNACK BOXES SET OF4 WOODLAND,504
Belgium,7,22417,PACK OF 60 SPACEBOY CAKE CASES,504
Belgium,8,POST,POSTAGE,420
Belgium,9,21977,PACK OF 60 PINK PAISLEY CAKE CASES,384
Belgium,10,20724,RED SPOTTY CHARLOTTE BAG,380
Bermuda,1,84598,BOYS ALPHABET IRON ON PATCHES,1152
Bermuda,2,84568,GIRLS ALPHABET IRON ON PATCHES,1152
Bermuda,3,21500,PINK SPOTS  WRAP,50
Bermuda,4,21495,SKULLS WRAP,50
Bermuda,5,16156S,WRAP PINK FAIRY CAKES,50
Bermuda,6,22045,SPACEBOY GIFT WRAP,50
Bermuda,7,85217,ASSORTED ICE CREAM FRIDGE MAGNETS,24
Bermuda,8,21700,BIG DOUGHNUT FRIDGE MAGNETS,24
Bermuda,9,47591D,PINK FAIRY CAKE CHILDRENS APRON,16
Bermuda,10,85227,SET/6 3D KIT CARDS FOR KIDS,12
Brazil,1,22630,DOLLY GIRL LUNCH BOX,25
Brazil,2,17084P,DRAGONS BLOOD INCENSE,25
Brazil,3,22697,TEACUP AND SAUCER REGENCY GREEN,24
Brazil,4,22722,SET OF 6 SPICE TINS PANTRY DESIGN,24
Brazil,5,22699,TEACUP AND SAUCER REGENCY ROSES,24
Brazil,6,22698,TEACUP AND SAUCER REGENCY PINK,24
Brazil,7,84971S,SMALL HEART FLOWERS HOOK,24
Brazil,8,22993,SET OF 4 PANTRY JELLY MOULDS,24
Brazil,9,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,24
Brazil,10,22423,REGENCY CAKESTAND 3 TIER,16
Canada,1,37370,RETRO COFFEE MUGS ASSORTED,504
Canada,2,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,288
Canada,3,20727,LUNCH BAG  BLACK SKULL.,50
Canada,4,22417,PACK OF 60 SPACEBOY CAKE CASES,48
Canada,5,21871,SAVE THE PLANET MUG,48
Canada,6,21975,PACK OF 60 DINOSAUR CAKE CASES,48
Canada,7,47593B,SCOTTIES DESIGN BABY BIB,48
Canada,8,10133,COLOURING PENCILS BROWN TUBE,40
Canada,9,22098,BOUDOIR SQUARE TISSUE BOX,36
